,Team_1,Team_2,Winner,Margin,Ground,Match Date
4258,England,Australia,Australia,19 runs,Manchester,"Sep 11, 2020"
4259,England,Australia,England,24 runs,Manchester,"Sep 13, 2020"
4260,England,Australia,Australia,3 wickets,Manchester,"Sep 16, 2020"
4261,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi,"Oct 30, 2020"
4262,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 1, 2020"
4263,Pakistan,Zimbabwe,tied,-,Rawalpindi,"Nov 3, 2020"
4264,Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020"
4265,Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020"
4266,Australia,India,India,13 runs,Canberra,"Dec 2, 2020"
4267,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi,"Jan 8, 2021"
4268,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi,"Jan 18, 2021"
4269,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur,"Jan 20, 2021"
4270,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi,"Jan 21, 2021"
4271,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur,"Jan 22, 2021"
4272,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi,"Jan 24, 2021"
4273,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram,"Jan 25, 2021"
4274,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi,"Jan 26, 2021"
4275,West Indies,Sri Lanka,West Indies,8 wickets,North Sound,"Mar 10, 2021"
4276,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 12, 2021"
4277,West Indies,Sri Lanka,West Indies,5 wickets,North Sound,"Mar 14, 2021"
4278,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin,"Mar 20, 2021"
4279,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch,"Mar 23, 2021"
4280,India,England,India,66 runs,Pune,"Mar 23, 2021"
4281,New Zealand,Bangladesh,New Zealand,164 runs,Wellington,"Mar 26, 2021"
4282,India,England,England,6 wickets,Pune,"Mar 26, 2021"
4283,India,England,India,7 runs,Pune,"Mar 28, 2021"
4284,South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 2, 2021"
4285,South Africa,Pakistan,South Africa,17 runs,Johannesburg,"Apr 4, 2021"
4286,South Africa,Pakistan,Pakistan,28 runs,Centurion,"Apr 7, 2021"
4287,Netherlands,Scotland,Netherlands,14 runs,Rotterdam,"May 19, 2021"
4288,Netherlands,Scotland,Scotland,6 wickets,Rotterdam,"May 20, 2021"
4289,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur,"May 23, 2021"
4290,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur,"May 25, 2021"
4291,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur,"May 28, 2021"
4292,Netherlands,Ireland,Netherlands,1 run,Utrecht,"Jun 2, 2021"
4293,Netherlands,Ireland,Ireland,8 wickets,Utrecht,"Jun 4, 2021"
4294,Netherlands,Ireland,Netherlands,4 wickets,Utrecht,"Jun 7, 2021"
4295,England,Sri Lanka,England,5 wickets,Chester-le-Street,"Jun 29, 2021"
4296,England,Sri Lanka,England,8 wickets,The Oval,"Jul 1, 2021"
4297,England,Sri Lanka,no result,-,Bristol,"Jul 4, 2021"
4298,England,Pakistan,England,9 wickets,Cardiff,"Jul 8, 2021"
4299,England,Pakistan,England,52 runs,Lord's,"Jul 10, 2021"
4300,Ireland,South Africa,no result,-,Dublin (Malahide),"Jul 11, 2021"
4301,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide),"Jul 13, 2021"
4302,England,Pakistan,England,3 wickets,Birmingham,"Jul 13, 2021"
4303,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare,"Jul 16, 2021"
4304,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide),"Jul 16, 2021"
4305,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare,"Jul 18, 2021"
4306,Sri Lanka,India,India,7 wickets,Colombo (RPS),"Jul 18, 2021"
4307,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 20, 2021"
4308,Sri Lanka,India,India,3 wickets,Colombo (RPS),"Jul 20, 2021"
4309,West Indies,Australia,Australia,133 runs,Bridgetown,"Jul 20, 2021"
4310,West Indies,Australia,West Indies,4 wickets,Bridgetown,"Jul 22-24, 2021"
4311,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS),"Jul 23, 2021"
4312,West Indies,Australia,Australia,6 wickets,Bridgetown,"Jul 26, 2021"
4313,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS),"Sep 2, 2021"
4314,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS),"Sep 4, 2021"
4315,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat,"Sep 6, 2021"
4316,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat,"Sep 7, 2021"
4317,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS),"Sep 7, 2021"
4318,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast,"Sep 8, 2021"
4319,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat,"Sep 9, 2021"
4320,Ireland,Zimbabwe,no result,-,Belfast,"Sep 10, 2021"
4321,Nepal,P.N.G.,Nepal,151 runs,Al Amerat,"Sep 10, 2021"
4322,Ireland,Zimbabwe,Ireland,7 wickets,Belfast,"Sep 13, 2021"
4323,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat,"Sep 13, 2021"
4324,Oman,Nepal,Oman,5 wickets,Al Amerat,"Sep 14, 2021"
4325,Oman,U.S.A.,Oman,4 wickets,Al Amerat,"Sep 16, 2021"
4326,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat,"Sep 17, 2021"
4327,Oman,Nepal,Nepal,7 wickets,Al Amerat,"Sep 19, 2021"
4328,Oman,U.S.A.,Oman,72 runs,Al Amerat,"Sep 20, 2021"
4329,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat,"Sep 25, 2021"
4330,Oman,P.N.G.,Oman,110 runs,Al Amerat,"Sep 26, 2021"
4331,Oman,Scotland,Scotland,18 runs,Al Amerat,"Sep 28, 2021"
4332,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat,"Sep 29, 2021"
4333,Oman,P.N.G.,Oman,3 wickets,Al Amerat,"Oct 1, 2021"
4334,Oman,Scotland,no result,-,Al Amerat,"Oct 2, 2021"
4335,Namibia,Oman,Namibia,40 runs,Windhoek,"Nov 26, 2021"
4336,South Africa,Netherlands,no result,-,Centurion,"Nov 26, 2021"
4337,Namibia,Oman,Oman,9 runs,Windhoek,"Nov 27, 2021"
4338,West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022"
4339,West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022"
4340,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022"
4341,West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022"
4342,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022"
4343,South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022"
4344,Afghanistan,Netherlands,Afghanistan,36 runs,Doha,"Jan 21, 2022"
4345,South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022"
4346,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022"
4347,Afghanistan,Netherlands,Afghanistan,48 runs,Doha,"Jan 23, 2022"
4348,South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022"
4349,Afghanistan,Netherlands,Afghanistan,75 runs,Doha,"Jan 25, 2022"
4350,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 5, 2022"
4351,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat,"Feb 6, 2022"
4352,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022"
